Date,Open,High,Low,Close,Volume,Adj Close
2012-01-26,133.15,133.40,131.36,131.88,184880500,127.77
2012-01-25,131.26,132.87,130.75,132.56,198613200,128.43
2012-01-24,130.80,131.50,130.60,131.46,103083300,127.36
2012-01-23,131.51,132.25,130.98,131.61,129295800,127.51
2012-01-20,131.24,131.95,130.92,131.95,138230200,127.84
2012-01-19,131.22,131.57,130.80,131.46,126328900,127.36
2012-01-18,129.31,130.84,129.08,130.77,163395200,126.70
2012-01-17,130.08,130.32,128.90,129.34,132209200,125.31
2012-01-13,128.64,129.05,127.72,128.84,179836200,124.83
2012-01-12,129.57,129.70,128.54,129.51,118983700,125.48
2012-01-11,128.73,129.37,128.52,129.20,111540700,125.18
2012-01-10,129.39,129.65,128.95,129.13,115282000,125.11
2012-01-09,128.00,128.18,127.41,128.02,99530200,124.03
2012-01-06,128.20,128.22,127.29,127.71,148050000,123.73
2012-01-05,127.01,128.23,126.43,128.04,173895000,124.05
2012-01-04,127.20,127.81,126.71,127.70,127186500,123.72
2012-01-03,127.76,128.38,127.43,127.50,193697900,123.53
2011-12-30,126.02,126.33,125.50,125.50,95599000,121.59
2011-12-29,125.24,126.25,124.86,126.12,123507200,122.19
2011-12-28,126.51,126.53,124.73,124.83,119107100,120.94
2011-12-27,126.17,126.82,126.06,126.49,86075700,122.55
2011-12-23,125.67,126.43,125.41,126.39,92187200,122.45
2011-12-22,124.63,125.40,124.23,125.27,119465400,121.37
2011-12-21,123.93,124.36,122.75,124.17,194230900,120.30
2011-12-20,122.18,124.14,120.37,123.93,225418100,120.07
2011-12-19,122.06,122.32,120.03,120.29,183903000,116.54
2011-12-16,122.23,122.95,121.30,121.59,220481400,117.80
2011-12-15,123.03,123.20,121.99,122.18,199109200,117.63
2011-12-14,122.56,123.03,121.47,121.74,238618800,117.20
2011-12-13,124.86,125.57,122.45,123.05,245159800,118.47
2011-12-12,124.95,124.97,123.16,124.21,215826100,119.58
2011-12-09,124.51,126.37,124.40,126.05,209111400,121.35
2011-12-08,125.90,126.18,123.65,123.95,240862800,119.33
2011-12-07,125.84,127.26,124.97,126.73,237802500,122.01
2011-12-06,126.21,127.11,125.76,126.26,178842100,121.56
